id,customer_id,sku_id,payment_id,order_date,price,qty_ordered,before_discount,discount_amount,after_discount,is_gross,is_valid,is_net,sku_name,cogs,category,payment_method
ODR9939707760w,C713589L,P858068,5,2021-11-19,26100,200,5220000.0,2610000.0,2610000.0,True,True,False,RB_Dettol Germ Busting Kit-bf,18270,Others,jazzwallet
ODR7448356649d,C551551L,P886455,5,2021-11-19,1971942,5,9859710.0,2464927.5,7394782.5,True,False,False,PS4_Slim-500GB,1321182,Entertainment,jazzwallet
ODR4011281866z,C685596L,P678648,4,2021-11-25,7482000,1,7482000.0,2065344.62,5416655.38,True,False,False,Changhong Ruba 55 Inches UD55D6000i Ultra HD TV_clear-CS,5162580,Entertainment,Payaxis
ODR3378927994s,C830683L,P540013,5,2021-11-22,3593680,1,3593680.0,1455440.4,2138239.6,True,True,True,dawlance_Inverter 30,3054628,Appliances,jazzwallet
ODR4904430099k,C191766L,P491032,4,2021-11-21,4413220,1,4413220.0,1059172.8,3354047.2,True,True,True,Dawlance_Inverter-45 2.0 ton,3177472,Appliances,Payaxis
ODR7618778722h,C299859L,P886455,5,2021-11-20,1971942,2,3943884.0,985971.0,2957913.0,True,False,False,PS4_Slim-500GB,1321182,Entertainment,jazzwallet
ODR7610732813d,C313534L,P849301,1,2022-12-01,2697000,1,2697000.0,809100.0,1887900.0,True,True,True,mitsubhisi_1.0 Ton - SRK-13CMK-CS,2373360,Appliances,cod
ODR4415476736l,C215074L,P918122,3,2022-12-01,2533672,1,2533672.0,760101.6,1773570.4,True,True,False,lenovo_80HR00AKUE,2063002,Computing,customercredit
ODR6474755771h,C368335L,P240605,5,2021-11-22,2479790,1,2479790.0,743937.0,1735853.0,True,False,False,lenovo_80J2021CUE,2083012,Computing,jazzwallet
ODR9699658949w,C246762L,P168052,7,2022-05-21,6487648,1,6487648.0,638000.0,5849648.0,True,False,False,iPhone7Plus-Red-256GB,5125228,Mobiles & Tablets,Easypay
